PPID,1,2,3,4,5,6,7,8,9,10
190716FKEE1,121,241,301,361,901,1021,1261,1321,,
190717JSCH1,241,301,361,421,601,661,901,1021,1261,
190717JSCH3,61,121,601,661,901,1021,1081,1321,1381,
190725LGEN1,421,481,541,721,781,841,961,1141,,
190725LGEN3,181,241,421,481,1021,1261,1321,1381,,
190904GHER1,181,241,481,601,781,841,1021,1201,1261,
190904GHER3,361,541,721,781,961,1021,1201,1261,,
191011LDIR1,61,181,541,601,781,841,901,1201,1321,
191011LDIR3,241,301,481,661,841,901,1021,1261,1381,
191113JPRE1,601,721,901,1021,1081,1261,1381,,,
191113JPRE3,601,661,781,901,1021,1201,1321,,,
191114CWEI1,61,181,361,421,541,661,721,1081,1201,
191114CWEI3,121,181,361,541,661,721,961,1081,1201,1381
191204MBLO1,121,301,421,601,721,841,961,1261,,
191204MBLO3,61,121,181,241,781,961,1081,1201,,
200115EROS1,121,181,541,721,781,901,961,1321,,
200115EROS3,1,61,481,721,841,961,1021,1141,,
200116TCIE1,121,181,361,721,781,1021,1201,1321,,
200116TCIE3,1,361,481,541,661,1021,1081,1261,,
200123GCAS1,301,661,961,1141,1201,1381,,,,
200127DFAI1,61,121,301,361,421,601,661,841,,
200127DFAI3,181,241,361,421,601,961,1081,,,
200211DCAT1,361,721,781,841,1021,1141,1321,,,
200211DCAT3,841,901,1021,1141,1381,,,,,
200213LOLE1,1,121,781,901,961,1021,1261,1321,,
